t_ros,u_cmd_L,u_cmd_R,p_ch_L,p_ch_R,p_sup,L_pos_mm,R_pos_mm,F_L,F_R
1768579764.566387,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.83926391601562,117.42927551269531,120.41883087158203
1768579764.5673876,5.0,5.0,0.0,0.0,0.0,213.96200561523438,200.7171630859375,117.28691864013672,120.20529174804688
1768579764.568387,5.0,5.0,0.0,0.0,0.0,213.53475952148438,201.32754516601562,117.50045013427734,120.27647399902344
1768579764.5693867,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.83926391601562,117.25132751464844,120.41883087158203
1768579764.5703874,5.0,5.0,0.0,0.0,0.0,214.08407592773438,201.02236938476562,117.50045013427734,120.24088287353516
1768579764.5713882,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.7781982421875,117.53604125976562,120.06293487548828
1768579764.5723872,5.0,5.0,0.0,0.0,0.0,213.65682983398438,200.96133422851562,117.10897064208984,120.16970825195312
1768579764.5733876,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.7171630859375,117.35809326171875,120.16970825195312
1768579764.5743856,5.0,5.0,0.0,0.0,0.0,213.90097045898438,200.96133422851562,117.42927551269531,120.38323974609375
1768579764.5753827,5.0,5.0,0.0,0.0,0.0,213.53475952148438,200.7171630859375,117.28691864013672,120.27647399902344
1768579764.5763881,5.0,5.0,0.0,0.0,0.0,213.35165405273438,200.90029907226562,117.18014526367188,120.16970825195312
1768579764.5773895,5.0,5.0,0.0,0.0,0.0,213.83993530273438,200.83926391601562,117.18014526367188,120.20529174804688
1768579764.5783875,5.0,5.0,0.0,0.0,0.0,213.71786499023438,201.02236938476562,117.39368438720703,120.20529174804688
1768579764.5793884,5.0,5.0,0.0,0.0,0.0,213.77890014648438,200.90029907226562,117.322509765625,120.06293487548828
1768579764.5803854,5.0,5.0,0.0,0.0,0.0,213.47372436523438,201.02236938476562,117.18014526367188,119.8849868774414
1768579764.581388,5.0,5.0,0.0,0.0,0.0,213.59579467773438,200.7781982421875,117.18014526367188,120.02735137939453
